S.N.,Title,Author(s),Year,Source / Publisher,Region or Country Focus,Type,SDG Target(s),Summary,Link (URL)
1,Moving the Dial on SDG 16.3.2: Evidence from lower-income countries on scaling up legal advice and assistance for unsentenced detainees,Clare Manuel; Marcus Manuel,2025,ODI (Overseas Development Institute) Global ,"Multi-country (Bangladesh, Haiti, Malawi, Sierra Leone, Uganda)",Briefing/ Policy Paper,16.3,"Examines how to reduce the share of people held in jail without trial (SDG indicator 16.3.2) by providing free legal assistance to pre-trial detainees. Citing stagnant global rates (~30% of prisoners are unsentenced), it presents evidence from five low-income countries that community paralegal programs can significantly cut pre-trial detention, as seen in Malawi’s sustained decrease after 96% of detainees received monthly paralegal visits. The brief recommends scaling up such legal aid initiatives and urges the UN and Member States to set a concrete target (e.g. halving the proportion of unsentenced detainees by 2030) to spur action on equal access to justice.",https://odi.org/en/publications/moving-the-dial-on-sdg-1632-evidence-from-lower-income-countries-on-scaling-up-legal-advice-and-assistance-for-unsentenced-detainees/
2,SDG 16 as an Enabler of the 2030 Agenda,Annika Silva-Leander,2024,International IDEA (Policy Paper No. 32),Global,Policy Paper,"16.3, 16.6, 16.7, 16.10","Explores interlinkages between SDG16 (peace, justice, strong institutions) and all other SDGs. Finds that SDG16’s democratic principles, rule of law, and human rights are crucial multipliers for progress on other goals, yet SDG16 is under-prioritized and under-funded. Recommends increased cross-sector investment and collaboration to leverage SDG16’s enabling role, and safeguarding those working on SDG16 to maximize its impact across the 2030 Agenda.","https://www.idea.int/news/sdg-16-enabler-2030-agenda#:~:text=SDG%2016%20focuses%20on%20promoting,inclusive%20institutions%20at%20all%20levels."
3,SDG16 as a Key Vector for Eliminating Poverty,SDG16 Data Initiative (International IDEA et al.),2024,SDG16 Data Initiative / International IDEA,Global (links SDG16 & SDG1),Report ,"1.1, 16.6, 16.7","Focuses on the interlinkages between peaceful, just institutions (SDG16) and poverty eradication (SDG1). Noting that insufficient political and financial commitment to the SDGs has left poverty reduction stalled, the report argues that progress on SDG1 demands concerted action on SDG16’s governance targets. It showcases non-official data and case evidence that strengthening access to justice, anti-corruption, and inclusive decision-making (SDG16 targets) directly supports poverty alleviation efforts. The report urges policymakers to make targeted investments in SDG16 – as a cross-cutting “vector” – to accelerate gains in ending poverty.",https://www.idea.int/democracytracker/sites/default/files/2024-12/SDG%2016%20Data%20Initiative%20Report%202024.pdf
4,Democracy on Display: How Voluntary National Reviews Spotlight Governance Progress,Amanda Sourek,2024,International IDEA (Analysis),Global (36 VNR countries in 2024),Analysis / Blog,"16.3, 16.5, 16.7, 16.10","Analyzes the 2024 round of UN Voluntary National Reviews (VNRs) to see how countries report on democratic governance commitments under SDG16. It finds that many VNRs did reference SDG16-related reforms – using keywords aligned to targets on rule of law, anti-corruption, participation, and access to information – but the depth and candor of governance reporting varied widely. International IDEA’s review indicates that SDG16 is increasingly acknowledged as an “enabler and accelerator” of the whole Agenda, but also that more systematic tracking of democracy, rights, and institutional quality in VNRs is needed to truly “spotlight” governance progress (or gaps) at mid-point.",https://www.idea.int/news/democracy-display-how-voluntary-national-reviews-spotlight-governance-progress
5,"Beyond the Battlefields: Practical Strategies to Halve Global Violence in our homes, streets and communities",Pathfinders/ Center on International Cooperation,2024,Pathfinders (NYU Center on International Cooperation),Global,Report,"16.1, 16.2","Lays out a roadmap to cut worldwide violence by 50% by 2030, emphasizing that most violence occurs outside of war zones (in homes, streets, communities) and can be drastically reduced through evidence-based prevention strategies. This flagship report – the result of a 3-year multi-stakeholder effort – highlights low-cost, proven interventions from various cities (like focused deterrence programs, urban design for safety, and violence interrupters) that have achieved large drops in violence. It argues halving violence is not utopian but an “actionable imperative” with huge social and economic benefits, and urges leaders to scale up what works (from reducing gun availability to investing in early childhood and community-led policing) to create safer, more peaceful societies in line with SDG16.1.",https://cic.nyu.edu/wp-content/uploads/2024/06/Halving-Global-Violence-Task-Force-Flagship-Report-Executive-Summary-2024.pdf
6,Ibrahim Index of African Governance (IIAG) 2024,Mo Ibrahim Foundation,2024,Mo Ibrahim Foundation,Africa (54 countries),Index Report,"16.1, 16.3, 16.7, 16.10","Finds that after a decade of improvements (2014–2019), Africa’s governance progress has stalled and even reversed in recent years. The 2024 IIAG shows that overall governance scores flatlined from 2019 and then ground to a halt in 2022, as rising conflicts, insecurity, and democratic backsliding eroded gains in economic opportunity and human development. About half of Africa’s population now lives in a country doing worse on governance in 2023 than in 2014. However, the continental average masks divergence: 13 countries (e.g. Côte d’Ivoire, Seychelles, Gambia) accelerated improvements – some of them among the world’s most improved – while 11 countries (including top performers like Mauritius and Botswana) saw worrying declines in rule of law, participation, and security since 2014. The report underscores that deteriorating “Security & Rule of Law” and “Participation, Rights & Inclusion” scores are the biggest drags on Africa’s progress, and calls for urgent action to address the democratic and security crisis threatening the continent’s development.",https://mo.ibrahim.foundation/sites/default/files/2024-10/2024-index-report.pdf
7,World Public Sector Report 2023: Transforming Institutions to Achieve the SDGs after the Pandemic,UN Department of Economic and Social Affairs (UNDESA),2023,United Nations (UNDESA),Global,Report,"16.6, 16.7, 16.a","Analyzes how governance innovations spurred by the COVID-19 crisis can accelerate SDG progress. Warns that the pandemic disrupted SDG momentum and made goals harder to reach, but also triggered rapid public-sector innovations that, if sustained, could improve trust, inclusion, and crisis-response capacity. The report urges governments to reshape relationships with citizens to rebuild trust, manage trade-offs transparently, and mobilize new technologies and partnerships to transform public institutions for a resilient, people-centered recovery.","https://desapublications.un.org/publications/world-public-sector-report-2023#:~:text=The%20World%20Public%20Sector%20Report,2030%20Agenda%20for%20Sustainable%20Development."
8,"Country-level Politics Around the SDGs: Analysing political will as a critical element of the
Mid-Term Review of the 2030 Agenda and the SDGs",Marianne Beisheim (Ed.),2023,SWP (Stiftung Wissenschaft und Politik) Research Paper 7/2023,Multi-country: 11 countries,Policy Research Paper,"16.6, 16.7","Argues that domestic political will is a decisive factor in SDG implementation. Through 11 country case studies, it finds that many governments tend to align SDGs with pre-existing political agendas, and in some cases sideline contentious goals like governance and justice. The paper highlights how local elite priorities, power struggles, and conflicts shape SDG outcomes, and concludes that addressing national political constraints and incentivizing genuine commitment must be part of the 2030 Agenda’s mid-term review to get progress back on track.",https://www.swp-berlin.org/publications/products/research_papers/2023RP07_UN_Mid-termReview.pdf
9,How Can Local Governments Accelerate the Implementation of SDGs?,"Open Government Partnership (OGP), with UNDP & UCLG",2023,Open Government Partnership (OGP blog),"Global (local case examples: Nigeria, Spain, Switzerland, Ghana, etc.)",Blog Post,"16.5, 16.6, 16.7","Describes an OGP-UNDP-UCLG campaign showcasing how open government innovations at the local level can speed up SDG progress. Notes that as of 2023, only 12% of OGP member countries are leveraging open governance to advance the SDGs, and warns that without active local engagement an estimated 65% of SDG targets may remain unmet. Through examples (e.g. citizen monitoring of services in Kaduna, Nigeria, and participatory budgeting in Ecuador), the piece illustrates how transparency, civic participation, and inclusion in city governance help drive innovation and accountability for SDG16+ (peace, justice, inclusive institutions) at the community level.",https://www.opengovpartnership.org/stories/how-can-local-governments-accelerate-the-implementation-of-sdgs/
10,"Global Progress Report on SDG16 Indicators: A Wake-Up Call for Action on Peace, Justice and Inclusion",UNDP; UNODC; OHCHR,2023,United Nations (Joint SDG16 Report),Global,Report,"16.1, 16.3, 16.5, 16.7, 16.10","The first-ever UN global stocktake on SDG16, launched at the 2023 SDG Summit, finds progress on Goal 16 is worryingly slow and many indicators are off-track. With just seven years left, little or no improvement is seen in key areas – violence is rising, access to justice remains limited, corruption is widespread, and inequalities are undermining inclusive decision-making. The report highlights alarming data gaps (SDG16 has the least data of all goals) and calls for urgent investment in disaggregated data and renewed commitments to protect human rights, strengthen rule of law, and build effective, accountable institutions, without which the 2030 Agenda cannot succeed.",https://www.undp.org/publications/global-progress-report-sustainable-development-goal-16-indicators-wake-call-action-peace-justice-and-inclusion
